2011-09-24 22:11:21 [INFO] Starting minecraft server version Beta 1.8.1
2011-09-24 22:11:21 [INFO] Loading properties
2011-09-24 22:11:21 [WARNING] server.properties does not exist
2011-09-24 22:11:21 [INFO] Generating new properties file
2011-09-24 22:11:21 [INFO] Starting Minecraft server on *:25565
2011-09-24 22:11:21 [WARNING] Failed to load ban list: java.io.FileNotFoundException: banned-players.txt (The system cannot find the file specified)
2011-09-24 22:11:21 [WARNING] Failed to load ip ban list: java.io.FileNotFoundException: banned-ips.txt (The system cannot find the file specified)
2011-09-24 22:11:21 [WARNING] Failed to load ip ban list: java.io.FileNotFoundException: ops.txt (The system cannot find the file specified)
2011-09-24 22:11:21 [WARNING] Failed to load white-list: java.io.FileNotFoundException: white-list.txt (The system cannot find the file specified)
2011-09-24 22:11:21 [INFO] Preparing level "world"
2011-09-24 22:11:21 [INFO] Default game type: 0
2011-09-24 22:11:24 [INFO] Preparing start region for level 0
2011-09-24 22:11:25 [INFO] Preparing spawn area: 0%
2011-09-24 22:11:26 [INFO] Preparing spawn area: 4%
2011-09-24 22:11:28 [INFO] Preparing spawn area: 4%
2011-09-24 22:11:29 [INFO] Preparing spawn area: 8%
2011-09-24 22:11:30 [INFO] Preparing spawn area: 12%
2011-09-24 22:11:31 [INFO] Preparing spawn area: 16%
2011-09-24 22:11:32 [INFO] Preparing spawn area: 16%
2011-09-24 22:11:33 [INFO] Preparing spawn area: 20%
2011-09-24 22:11:34 [INFO] Preparing spawn area: 24%
2011-09-24 22:11:35 [INFO] Preparing spawn area: 28%
2011-09-24 22:11:36 [INFO] Preparing spawn area: 32%
2011-09-24 22:11:37 [INFO] Preparing spawn area: 36%
2011-09-24 22:11:38 [INFO] Preparing spawn area: 40%
2011-09-24 22:11:39 [INFO] Preparing spawn area: 40%
2011-09-24 22:11:40 [INFO] Preparing spawn area: 44%
2011-09-24 22:11:41 [INFO] Preparing spawn area: 48%
2011-09-24 22:11:42 [INFO] Preparing spawn area: 52%
2011-09-24 22:11:43 [INFO] Preparing spawn area: 57%
2011-09-24 22:11:44 [INFO] Preparing spawn area: 57%
2011-09-24 22:11:45 [INFO] Preparing spawn area: 61%
2011-09-24 22:11:46 [INFO] Preparing spawn area: 61%
2011-09-24 22:11:47 [INFO] Preparing spawn area: 61%
2011-09-24 22:11:48 [INFO] Preparing spawn area: 65%
2011-09-24 22:11:49 [INFO] Preparing spawn area: 65%
2011-09-24 22:11:51 [INFO] Preparing spawn area: 65%
2011-09-24 22:11:52 [INFO] Preparing spawn area: 69%
2011-09-24 22:11:53 [INFO] Preparing spawn area: 69%
2011-09-24 22:11:54 [INFO] Preparing spawn area: 69%
2011-09-24 22:12:05 [INFO] Starting minecraft server version Beta 1.8.1
2011-09-24 22:12:05 [INFO] Loading properties
2011-09-24 22:12:05 [INFO] Starting Minecraft server on *:25565
2011-09-24 22:12:06 [INFO] Preparing level "world"
2011-09-24 22:12:06 [INFO] Default game type: 0
2011-09-24 22:12:08 [INFO] Preparing start region for level 0
2011-09-24 22:12:09 [INFO] Preparing spawn area: 0%
2011-09-24 22:12:10 [INFO] Preparing spawn area: 4%
2011-09-24 22:12:11 [INFO] Preparing spawn area: 8%
2011-09-24 22:12:12 [INFO] Preparing spawn area: 8%
2011-09-24 22:12:13 [INFO] Preparing spawn area: 12%
2011-09-24 22:12:14 [INFO] Preparing spawn area: 16%
2011-09-24 22:12:15 [INFO] Preparing spawn area: 16%
2011-09-24 22:12:16 [INFO] Preparing spawn area: 20%
2011-09-24 22:12:17 [INFO] Preparing spawn area: 20%
2011-09-24 22:12:18 [INFO] Preparing spawn area: 24%
2011-09-24 22:12:19 [INFO] Preparing spawn area: 24%
2011-09-24 22:12:20 [INFO] Preparing spawn area: 28%
2011-09-24 22:12:21 [INFO] Preparing spawn area: 28%
2011-09-24 22:12:22 [INFO] Preparing spawn area: 32%
2011-09-24 22:12:23 [INFO] Preparing spawn area: 32%
2011-09-24 22:12:24 [INFO] Preparing spawn area: 36%
2011-09-24 22:12:25 [INFO] Preparing spawn area: 36%
2011-09-24 22:12:26 [INFO] Preparing spawn area: 40%
2011-09-24 22:12:27 [INFO] Preparing spawn area: 40%
2011-09-24 22:12:28 [INFO] Preparing spawn area: 40%
2011-09-24 22:12:29 [INFO] Preparing spawn area: 44%
2011-09-24 22:12:30 [INFO] Preparing spawn area: 44%
2011-09-24 22:12:32 [INFO] Preparing spawn area: 48%
2011-09-24 22:12:33 [INFO] Preparing spawn area: 48%
2011-09-24 22:12:34 [INFO] Preparing spawn area: 52%
2011-09-24 22:12:35 [INFO] Preparing spawn area: 52%
2011-09-24 22:12:36 [INFO] Preparing spawn area: 53%
2011-09-24 22:12:37 [INFO] Preparing spawn area: 56%
2011-09-24 22:12:38 [INFO] Preparing spawn area: 57%
2011-09-24 22:12:39 [INFO] Preparing spawn area: 60%
2011-09-24 22:12:40 [INFO] Preparing spawn area: 61%
2011-09-24 22:12:41 [INFO] Preparing spawn area: 61%
2011-09-24 22:12:42 [INFO] Preparing spawn area: 65%
2011-09-24 22:12:43 [INFO] Preparing spawn area: 65%
2011-09-24 22:12:44 [INFO] Preparing spawn area: 65%
2011-09-24 22:12:45 [INFO] Preparing spawn area: 69%
2011-09-24 22:12:46 [INFO] Preparing spawn area: 69%
2011-09-24 22:12:47 [INFO] Preparing spawn area: 69%
2011-09-24 22:12:48 [INFO] Preparing spawn area: 73%
2011-09-24 22:12:49 [INFO] Preparing spawn area: 73%
2011-09-24 22:12:50 [INFO] Preparing spawn area: 73%
2011-09-24 22:12:51 [INFO] Preparing spawn area: 77%
2011-09-24 22:12:53 [INFO] Preparing spawn area: 77%
2011-09-24 22:12:54 [INFO] Preparing spawn area: 77%
2011-09-24 22:12:55 [INFO] Preparing spawn area: 81%
2011-09-24 22:12:56 [INFO] Preparing spawn area: 81%
2011-09-24 22:12:57 [INFO] Preparing spawn area: 81%
2011-09-24 22:12:58 [INFO] Preparing spawn area: 81%
2011-09-24 22:12:59 [INFO] Preparing spawn area: 85%
2011-09-24 22:13:00 [INFO] Preparing spawn area: 85%
2011-09-24 22:13:01 [INFO] Preparing spawn area: 85%
2011-09-24 22:13:02 [INFO] Preparing spawn area: 85%
